gene_symbol,uniprot,accession_count,main_location,additional_location,if_reliability
AC068631.2,,0,Endoplasmic reticulum,,Uncertain
AC068775.1,,0,,,
AC068870.4,,0,,,
AC069368.1,,0,,,
AC069444.2,,0,,,
AC069544.1,,0,,,
AC072022.2,,0,,,
AC073111.3,,0,,,
AC073610.1,,0,"Nucleoplasm, Nuclear bodies",,Approved
AC073896.1,,0,"Nucleoplasm, Centriolar satellite",,Approved
AC079741.2,,0,,,
AC083800.1,,0,,,
AC083977.1,,0,,,
AC084756.2,,0,,,
AC087721.2,,0,"Nucleoplasm, Nucleoli, Nucleoli fibrillar center",,Approved
AC090373.2,A6NLF2,1,Nucleoplasm,"Nucleoli, Cytosol",Approved
AC090517.4,,0,,,
AC090527.2,,0,,,
AC091167.6,,0,,,
AC091959.1,,0,Nuclear speckles,,Approved
AC092017.2,,0,,,
AC092042.3,,0,,,
AC092073.1,,0,,,
AC092143.1,,0,Microtubules,"Cytokinetic bridge, Mitotic spindle",Approved
AC092329.3,,0,,,
AC092442.1,,0,,,
AC092587.1,,0,,,
AC092647.5,,0,,,
AC092718.2,,0,Vesicles,,Approved
AC092718.7,,0,Vesicles,,Approved
AC092835.1,,0,,,
AC093155.3,,0,Mitochondria,,Uncertain
AC093246.1,,0,,,
AC093323.1,B2RBV5,1,,,
AC093512.2,,0,,,
AC093525.1,,0,,,
AC093525.2,,0,,,
AC093668.1,,0,Nucleoplasm,,Uncertain
AC093827.5,,0,Focal adhesion sites,Cytosol,Approved
AC093899.2,,0,,,
AC097634.4,,0,Nucleoplasm,,Approved
AC097636.1,,0,,,
AC097637.1,,0,,,
AC099489.1,,0,,,
AC099569.1,,0,,,
AC099811.2,,0,,,
AC099850.2,,0,,,
AC100868.1,,0,,,
AC104109.3,,0,,,
AC104389.6,,0,,,
AC104452.1,,0,,,
AC105206.4,,0,,,
AC106873.8,,0,,,
AC107871.1,,0,,,
AC107959.5,,0,,,
AC109583.1,,0,,,
AC114402.2,,0,,,
AC114490.2,,0,,,
AC116366.1,,0,Nucleoplasm,,Approved
AC117378.1,,0,Cytosol,,Approved
AC117457.1,,0,,,
AC118470.1,,0,,,
AC118553.2,,0,Vesicles,,Approved
AC119676.1,,0,,,
AC119733.1,,0,,,
AC126283.1,,0,,,
AC127029.3,,0,Plasma membrane,"Nucleoplasm, Cytosol",Approved
AC129492.3,,0,,,
AC131160.1,,0,Mitochondria,,Approved
AC132217.2,,0,Nucleoplasm,,Approved
AC133551.1,,0,Centriolar satellite,,Uncertain
AC134669.1,,0,,,
AC134980.2,,0,Centrosome,,Approved
AC135050.2,,0,Endoplasmic reticulum,,Approved
AC135068.1,,0,,,
