statistic,seer_site_id,site_label,recode_group,sex,rate_per_100k,rate_se,rate_lower_ci,rate_upper_ci,observed_count,count_population,period,rate_basis,requested_sex_was_substituted
incidence,83,Hodgkin Lymphoma,Lymphoma,both,2.526835,0.018229,2.491232,2.562820,19801,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,83,Hodgkin Lymphoma,Lymphoma,female,2.258841,0.024400,2.211268,2.307171,8874,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,83,Hodgkin Lymphoma,Lymphoma,male,2.821825,0.027399,2.768376,2.876055,10927,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,86,Non-Hodgkin Lymphoma,Lymphoma,both,18.715253,0.047053,18.623141,18.807720,164390,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,86,Non-Hodgkin Lymphoma,Lymphoma,female,15.634243,0.058879,15.519052,15.750109,73681,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,86,Non-Hodgkin Lymphoma,Lymphoma,male,22.435063,0.076334,22.285696,22.585196,90709,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,89,Myeloma,Myeloma,both,7.448935,0.029248,7.391718,7.506500,67273,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,89,Myeloma,Myeloma,female,6.130412,0.036252,6.059562,6.201924,29701,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,89,Myeloma,Myeloma,male,9.078634,0.048068,8.984662,9.173364,37572,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,90,Leukemia,Leukemia,both,14.686481,0.042191,14.603902,14.769420,125949,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,90,Leukemia,Leukemia,female,11.530100,0.051594,11.429195,11.631698,52528,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,90,Leukemia,Leukemia,male,18.516312,0.069947,18.379467,18.653933,73421,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,110,Kaposi Sarcoma,Kaposi Sarcoma,both,0.407423,0.007294,0.393251,0.421975,3235,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,110,Kaposi Sarcoma,Kaposi Sarcoma,female,0.059652,0.003693,0.052632,0.067378,274,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,110,Kaposi Sarcoma,Kaposi Sarcoma,male,0.769914,0.014399,0.741948,0.798671,2961,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,111,Mesothelioma,Mesothelioma,both,0.705910,0.009140,0.688108,0.724069,6133,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,111,Mesothelioma,Mesothelioma,female,0.383691,0.009152,0.365960,0.402097,1822,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,111,Mesothelioma,Mesothelioma,male,1.139603,0.017739,1.105096,1.174912,4311,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
mortality,1,All Cancer Sites Combined,All Cancer Sites Combined,both,143.198025,0.083409,143.034591,143.361609,3049139,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,1,All Cancer Sites Combined,All Cancer Sites Combined,female,124.687078,0.105970,124.479466,124.894976,1445518,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,1,All Cancer Sites Combined,All Cancer Sites Combined,male,168.314894,0.136256,168.047941,168.582178,1603621,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,3,Oral Cavity and Pharynx,Oral Cavity and Pharynx,both,2.687918,0.011346,2.665724,2.710261,58275,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,3,Oral Cavity and Pharynx,Oral Cavity and Pharynx,female,1.444337,0.011352,1.422171,1.466788,16882,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,3,Oral Cavity and Pharynx,Oral Cavity and Pharynx,male,4.145291,0.020906,4.104415,4.186490,41393,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,17,Esophagus,Digestive System,both,3.653745,0.013172,3.627972,3.679668,79756,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,17,Esophagus,Digestive System,female,1.375621,0.010973,1.354197,1.397328,16283,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,17,Esophagus,Digestive System,male,6.356000,0.025860,6.305414,6.406908,63473,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,18,Stomach,Digestive System,both,2.654339,0.011545,2.631757,2.677075,55190,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,18,Stomach,Digestive System,female,1.976522,0.013690,1.949778,2.003561,22078,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,18,Stomach,Digestive System,male,3.482769,0.019642,3.444375,3.521497,33112,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,19,Small Intestine,Digestive System,both,0.451680,0.004698,0.442517,0.460996,9558,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,19,Small Intestine,Digestive System,female,0.373053,0.005784,0.361801,0.384591,4327,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,19,Small Intestine,Digestive System,male,0.548966,0.007774,0.533834,0.564432,5231,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,20,Colon and Rectum (including Appendix),Digestive System,both,12.742623,0.025212,12.693254,12.792145,265812,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,20,Colon and Rectum (including Appendix),Digestive System,female,10.696171,0.031358,10.634796,10.757835,122279,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,20,Colon and Rectum (including Appendix),Digestive System,male,15.129675,0.041010,15.049401,15.210283,143533,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,34,"Anus, Anal Canal & Anorectum",Digestive System,both,0.376854,0.004307,0.368457,0.385403,7995,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,34,"Anus, Anal Canal & Anorectum",Digestive System,female,0.424942,0.006214,0.412848,0.437326,4911,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,34,"Anus, Anal Canal & Anorectum",Digestive System,male,0.318046,0.005885,0.306615,0.329809,3084,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,35,Liver and Intrahepatic Bile Duct,Digestive System,both,6.622853,0.017613,6.588376,6.657478,146325,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,35,Liver and Intrahepatic Bile Duct,Digestive System,female,4.320056,0.019498,4.281922,4.358472,50922,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,35,Liver and Intrahepatic Bile Duct,Digestive System,male,9.314808,0.030907,9.254328,9.375606,95403,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,38,Gallbladder,Digestive System,both,0.506705,0.004942,0.497063,0.516498,10844,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,38,Gallbladder,Digestive System,female,0.618731,0.007399,0.604313,0.633434,7251,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,38,Gallbladder,Digestive System,male,0.375104,0.006408,0.362646,0.387893,3593,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,40,Pancreas,Digestive System,both,11.263551,0.023164,11.218193,11.309057,243780,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,40,Pancreas,Digestive System,female,9.872268,0.029264,9.814994,9.929823,117208,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,40,Pancreas,Digestive System,male,12.887195,0.037106,12.814568,12.960147,126572,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,46,Larynx,Respiratory System,both,0.882001,0.006398,0.869503,0.894646,19635,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,46,Larynx,Respiratory System,female,0.326142,0.005301,0.315832,0.336732,3918,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,46,Larynx,Respiratory System,male,1.557246,0.012738,1.532378,1.582435,15717,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,47,Lung and Bronchus,Respiratory System,both,30.230132,0.037657,30.156369,30.304043,662721,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,47,Lung and Bronchus,Respiratory System,female,26.153770,0.047352,26.061042,26.246775,313133,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,47,Lung and Bronchus,Respiratory System,male,35.392169,0.061293,35.272137,35.512526,349588,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,50,Bones and Joints,Bones and Joints,both,0.507556,0.005254,0.497308,0.517966,9767,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,50,Bones and Joints,Bones and Joints,female,0.414568,0.006567,0.401795,0.427655,4269,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,50,Bones and Joints,Bones and Joints,male,0.614694,0.008472,0.598198,0.631535,5498,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,51,Soft Tissue including Heart,Soft Tissue including Heart,both,1.287120,0.008222,1.271053,1.303346,25758,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,51,Soft Tissue including Heart,Soft Tissue including Heart,female,1.130646,0.010650,1.109867,1.151731,12061,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,51,Soft Tissue including Heart,Soft Tissue including Heart,male,1.488831,0.013040,1.463381,1.514621,13697,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,53,Melanoma of the Skin,Skin excluding Basal and Squamous,both,2.005706,0.010015,1.986123,2.025443,41702,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,53,Melanoma of the Skin,Skin excluding Basal and Squamous,female,1.298351,0.011064,1.276755,1.320243,14582,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,53,Melanoma of the Skin,Skin excluding Basal and Squamous,male,2.921457,0.018185,2.885920,2.957331,27120,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
